,real_target,QS-Prediction,AS-Prediction
196,vitelliform macular dystrophy : general,vitelliform macular dystrophy : a symptom,"vitelliform macular dystrophy . it is characterized by yellow (or orange), round structures similar to yolk . the macula is responsible for sharp central vision ."
197,ventilator-associated lung injury : prevention,ventilator-associated lung injury : prevention . u.s,cyclic atelectasis : physiology - prevention . alveolar overdistension : prevention
198,intermenstrual bleeding : causes,intermenstrual bleeding : causes of a . .,cervicitis endometritis adenomyosis . ovarian syndrome : physiology
199,scleritis : symptoms,scleritis is a chronic disease characterized by a,scleritis . symptoms include redness of the sclera . conjunctivitis : symptoms
200,café au lait spot : general,café au lait spot is a great place to visit . ,[{'summary_text': "'café au lait'' spots . they are caused by pigment-producing melanocytes in the epidermis of the skin ."}]
201,hematospermia : general,hematospermia is the most common disease in the,hematospermia . hepatitis c : physiology : general physiologies - general
202,neurasthenia : general,neurasthenia is a syphilia .,neurasthenia : diagnoses : diagnostic . psychiatric disorder : diagnosis : treatments physiology - diagnosis
203,lyme disease : symptoms,lyme disease symptoms : symptoms . sympathetic,lyme disease : physiology - symptoms : symptoms physiologic : causes . socio-economic factors
204,dental fluorosis : diagnosis,dental fluorosis : diagnosis of a serious condition .,dental fluorosis : diagnosis physiology : diagnostics : treatments : diagnoses . pediatrician ephemeral fluoride : symptoms
205,biological psychiatry : treatments,biological psychiatry . treatments are available in the uk,mental disorders : treatments physiology - treatments - physiologies - treatment . physiologic syndrome : therapies
206,ulcerative colitis : physiology,ulcerative colitis : physiology . elg,ulcerative colitis : physiology : causes . sulfate-reducing fatty acid : mechanisms
207,dissociative identity disorder : treatments,dissociative identity disorder is a disorder characterized by a ,"did treatment : treatments : treatment . experts: treatments can be asymptomatic . treatments can vary based on diagnosis, diagnosis, treatment physiology . authors: treatments"
208,frontotemporal lobar degeneration : diagnosis,frontotemporal lobar degeneration : diagnosis . .,frontotemporal lobar degeneration : physiology : diagnosis - diagnosis : treatments : diagnostic : interventions : responses
209,hypoalbuminemia : causes,hypoalbuminemia is a common cause . a symptom,hypoalbuminemia : physiological physiology : causes . physiologic fibromyeloma : symptoms
210,autosomal dominant polycystic kidney disease : diagnosis,autosomal dominant polycystic kidney disease : diagnosis ,intracranial aneurysm . diagnosis of adpkd is a process of diagnosis . he says diagnosis can be a diagnostic tool .
211,mucinous carcinoma : general,mucinous carcinoma is a common disease . it is ,mucinous carcinoma . general : general . general adolescent lymphoma . diagnosis
212,urachal cyst : diagnosis,urachal cyst is the most common disease in the u.s,urachal cysts . symbiosis - diagnosis - physiology . diagnosis : diagnosis / diagnosis
213,methemoglobinemia : physiology,methemoglobinemia : physiology . .,tetrameric hemoglobin . hepatitis c – physiology : physiologie .
214,post-concussion syndrome : treatments,post-concussion syndrome : treatments for the disease .,post-concussion syndrome . symptoms : treatments physiology - treatments . experts - treatment - interventions in general
215,hypervitaminosis a : physiology,hypervitaminosis a : physiology .,preformed vitamin a : absorption & storage . hepatitis c : physiology : symptoms
216,nerve compression syndrome : treatments,nerve compression syndrome is a chronic disease . it is the most common,neuropathy : treatments physiology : treatment . physiologic emphysicist syndrome - treatments
217,buruli ulcer : prevention,buruli ulcer : prevention . u.s :,bacillus calmette-guérin . bacterium ulcerans - a bacterial - may . offer temporary protection .
218,dream : general,dream : what is dream . click here for more information .,dreams : physiology : causes physiologic : treatments . sociology: causes of psychiatric relapse : symptoms
219,burkholderia : general,[{'summary_text': "burkholderia : 'i'm not a"}],genus burkholderia . he says it is a symptom of melioidosis . disease : causes
220,extensively drug-resistant tuberculosis : treatments,extensively drug-resistant tuberculosis : treatments .,xdr-tb disease : treatments - treatment - physiology - treatments : treatment : therapies  socio-economic factors
221,goitre : general,goitre : a symbiotic sex,goitre . er|or goiter : physiology . a thyroid deficiency : causes
222,prediabetes : general,prediabetes : u.s. eu ,diabetes mellitus : diagnosis physiology : treatments physiologique : diagnostic physiologies : symptoms : general
223,incisional hernia : causes,incisional hernia : causes of . .,incisional hernias : physiology : causes physiologic : symptoms . symptoms: causes of illness – causes
224,dysgeusia : general,dysgeusia : symbiosis ,dysgeusia : physiology : symptoms : causes . socio-economic status of dysgeuda - symptoms
225,angelman syndrome : treatments,angelman syndrome is a chronic disease . it is thought to be,angelman syndrome : treatments physiology . physiologic symbiosis . symptoms : prevention
226,animal communication : general,animal communication : a guide to the world . : general,animal communication : generalism : physiology . physiological biology - general : diagnosis : treatments
227,mesothelioma : prevention,mesothelioma is a rare disease .,mesothelioma : prevents physiology . experts say prevention is a good idea . expert says prevention can be a problem .
228,wolfram syndrome : general,wolfram syndrome is a chronic disease characterized by a ,wolfram syndrome . causes childhood-onset diabetes mellitus . affects the central nervous system (especially the brainstem)
229,tooth ankylosis : diagnosis,tooth ankylosis is a rare disease . it can cause,tooth ankylosis : diagnostic physiology : diagnosis . physiologic fibromyalgia : diagnoses
230,itch : symptoms,itch symptoms : symptoms of a comorbid .,itch : physiology : treatments physiologic : interventions . socio-economic stress : responses : symptoms
231,ranula : treatments,ranula is a disease characterized by sclerosis .,ranulae . re-establish a connection with the oral cavity . the asymptomatic sublingual gland .
232,near-sightedness : causes,near-sightedness is the cause of a coma .,myopia : physiology - causes : causes physiological : treatments . socioeconomic ephemeral dysplasia . causes
233,hemolytic anemia : general,hemolytic anemia : systoma .,hemolytic anemia . he says general hepatitis c : physiology . general spleen : symptoms
234,trachoma : causes,trachoma : causes of a coma .,trachoma : physiology : causes . physiologic syndrome - causes - physiological diagnosis
235,giant-cell arteritis : symptoms,giant-cell arteritis : symptoms of . .,giant-cell arteritis . symptoms include bruits fever headache . aortic aneurysm : diagnosis
236,food intolerance : causes,food intolerance is a common cause . it can lead to,food intolerance : physiology - symptoms : causes physiologic : symptoms . socio-economic status - causes
237,uterine perforation : general,uterine perforation : a general . .,uterine perforation : physiology : causes physiological . physiologic complication : symptoms
238,sleep deprivation : general,sleep deprivation : a general symptom . ,sleep deprivation : physiology : symptoms : causes . socioeconomics : treatments: treatments
239,mastoiditis : treatments,mastoiditis treatments : treatments . click here for,mastoiditis in developed countries . eustachian tube infection : treatments : treatment : therapies . expert expert . expert: treatments
240,hyperemesis gravidarum : general,hyperemesis gravidarum : a . ,"hyperemesis gravidarum . symptoms include nausea, vomiting, weight loss and dehydration . they include thyrotoxicosis, overactive thyroid ."
241,hypothermia : causes,hypothermia is a chronic disease . it causes a,hypothermiaage jpg|thumb|left|right|rightst image : physiology .
242,dysplastic nevus syndrome : diagnosis,dysplastic nevus syndrome : diagnosis . u.s,melanocytic nevi : definition fammm - definition - physiology . atypical melonoma : diagnosis
243,balanitis : symptoms,balanitis symptoms : symptoms of a coma ,balanitis . symptoms can include: physiology . physiologic syndrome – symptoms – physiotherapy .
244,paraphilia : general,paraphilia is a syria .,paraphilia : physiology : causes . physiologic paraphilis : treatments : general
245,sleep paralysis : general,sleep paralysis : a common symptom : sleep .,rem sleep paralysis : physiology : general . physiologic paralysis syndrome : symptoms : causes
246,taeniasis : transmission,taeniasis : transmission . u.s,taeniasis . hepatitis c : physiology : treatments physiologique . treatments
247,idiopathic orbital inflammatory disease : physiology,idiopathic orbital inflammatory disease : physiology,idiopathic orbital inflammation : physiology - diagnosis : causes . physiologic ioi : symptoms
248,gene duplication : general,gene duplication : a systicism .,gene duplication (or chromosomal duplication) is a major mechanism through which new genetic material is generated during molecular evolution . it can be defined as any duplication of a region of dna .
249,near-sightedness : prevention,near-sightedness is the prevention of sightedness . .,bifocal and progressive lenses . scleral reinforcement surgery : physiology . diagnosis : prevention : treatments
250,right ventricular hypertrophy : physiology,right ventricular hypertrophy : physiology . .,right ventricular hypertrophy : physiology : causes : mechanisms physiologique . physiological : pathways
251,dandy–walker malformation : symptoms,dandy–walker malformation . symptoms are common .,dandy–walker variant . he says dwm asymptomatic syringomyelia . neuropathy : symptoms
